invoice_num,stock_code,description,quantity,invoice_date,unit_price,cust_id,country,month,day,hour,week_days,year_month
579196,22302,COFFEE MUG PEARS  DESIGN,1,2011-11-28 15:54:00,4.96,14096.0,United Kingdom,11,28,15,Mon,2011-11
545290,22386,JUMBO BAG PINK POLKADOT,10,2011-03-01 12:01:00,1.95,14688.0,United Kingdom,3,1,12,Tue,2011-03
568197,22339,CHRISTMAS TREE PAINTED ZINC ,96,2011-09-25 14:52:00,0.19,16746.0,United Kingdom,9,25,14,Sun,2011-09
566539,47599A,PINK PARTY BAGS,6,2011-09-13 11:34:00,2.1,17228.0,United Kingdom,9,13,11,Tue,2011-09
539225,22549,PICTURE DOMINOES,12,2010-12-16 13:02:00,1.45,15379.0,United Kingdom,12,16,13,Thu,2010-12
567339,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-09-19 15:01:00,1.25,14146.0,United Kingdom,9,19,15,Mon,2011-09
561643,22197,POPCORN HOLDER,12,2011-07-28 15:04:00,0.85,15939.0,United Kingdom,7,28,15,Thu,2011-07
544293,20725,LUNCH BAG RED RETROSPOT,1,2011-02-17 12:42:00,1.65,17954.0,United Kingdom,2,17,12,Thu,2011-02
577495,23245,SET OF 3 REGENCY CAKE TINS,1,2011-11-20 12:20:00,4.95,14704.0,United Kingdom,11,20,12,Sun,2011-11
568168,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2011-09-25 12:46:00,2.95,15799.0,United Kingdom,9,25,12,Sun,2011-09
554489,21984,PACK OF 12 PINK PAISLEY TISSUES ,24,2011-05-24 13:46:00,0.29,17272.0,United Kingdom,5,24,13,Tue,2011-05
569687,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2011-10-05 14:53:00,2.1,13709.0,United Kingdom,10,5,14,Wed,2011-10
546682,22191,IVORY DINER WALL CLOCK,2,2011-03-16 08:31:00,8.5,12994.0,United Kingdom,3,16,8,Wed,2011-03
